filename,nmi,deltak,nclusters,running_time,iteration
P0.O30_tx,0.9998774543600467,0,6,1.864991,20
P0.O30_tx,0.99994882430401,0.0,6.0,1.8238214,avg
P0.O0_tx,0.9998783909875689,0,6,2.13006,1
P0.O0_tx,1.0,0,6,1.974575,2
P0.O0_tx,0.9999384801966817,0,6,2.02055,3
P0.O0_tx,1.0,0,6,1.957986,4
P0.O0_tx,0.9998772234023073,0,6,1.923109,5
P0.O0_tx,1.0,0,6,2.072517,6
P0.O0_tx,0.9999999999999999,0,6,1.961658,7
P0.O0_tx,0.999877124027663,0,6,2.012203,8
P0.O0_tx,0.9998149818353189,0,6,1.995829,9
P0.O0_tx,0.9999390097249499,0,6,2.060411,10
P0.O0_tx,1.0,0,6,1.987232,11
P0.O0_tx,0.9999384974967758,0,6,2.017121,12
P0.O0_tx,0.9999379459248096,0,6,1.956819,13
P0.O0_tx,0.9999383175015308,0,6,2.097988,14
P0.O0_tx,0.9999390097249499,0,6,2.075634,15
P0.O0_tx,0.9999381259200542,0,6,2.132543,16
P0.O0_tx,0.9999387478873624,0,6,2.073009,17
P0.O0_tx,0.9999383175015308,0,6,2.274616,18
P0.O0_tx,0.9999387478873624,0,6,2.638689,19
P0.O0_tx,0.9999379459248094,0,6,2.035677,20
P0.O0_tx,0.9999385432971838,0.0,6.0,2.0699113000000002,avg
P20.O30_tx,0.9997558557857468,0,6,2.981247,1
P20.O30_tx,0.9381983782278462,3,9,3.561035,2
P20.O30_tx,0.9999389575653408,0,6,2.91259,3
P20.O30_tx,0.9527002013290896,2,8,3.295028,4
P20.O30_tx,0.9999382039083906,0,6,2.843415,5
P20.O30_tx,0.952111664198243,2,8,3.370073,6
P20.O30_tx,0.9998781305049628,0,6,2.850057,7
P20.O30_tx,0.9999392398273779,0,6,2.448155,8
P20.O30_tx,0.9344708486598207,4,10,3.252055,9
P20.O30_tx,0.9997547849809941,0,6,2.683385,10
P20.O30_tx,0.9420154376743656,3,9,3.887018,11
P20.O30_tx,1.0,0,6,2.850086,12
P20.O30_tx,0.9427110337267264,3,9,3.331503,13
P20.O30_tx,0.9998776553683534,0,6,2.887046,14
P20.O30_tx,0.9530106275445911,3,9,3.283517,15
P20.O30_tx,0.9998794121476247,0,6,2.407617,16
P20.O30_tx,0.9999386423716875,0,6,2.407521,17
P20.O30_tx,0.9357462233504112,4,10,3.36161,18
P20.O30_tx,0.9440983347360072,3,9,3.243829,19
P20.O30_tx,0.9693451048783782,1,7,2.795543,20
P20.O30_tx,0.9731654368392979,1.4,7.4,3.0326164999999996,avg
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,8.065695,1
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,6.919905,2
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,9.656403,3
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,8.109706,4
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,7.468938,5
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,7.445432,6
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,9.628533,7
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,9.119267,8
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,8.0105,9
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,10.157352,10
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,7.981166,11
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,8.577984,12
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,8.129874,13
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,9.054452,14
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,9.084159,15
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,7.0225,16
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,8.099806,17
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,8.573408,18
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,7.483833,19
T500k.D20k.L50.P60.O40.C8,0.0,-7,1,8.478227,20
T500k.D20k.L50.P60.O40.C8,0.0,-7.0,1.0,8.353356999999999,avg
P20.O0_tx,0.9286262071363846,4,10,3.862866,1
P20.O0_tx,0.9995449357468393,0,6,2.496394,2
P20.O0_tx,0.9475466851472423,3,9,3.454745,3
P20.O0_tx,0.9675005044038802,1,7,2.94427,4
P20.O0_tx,0.999582040144698,0,6,2.699608,5
P20.O0_tx,0.999477237206961,0,6,2.685089,6
P20.O0_tx,0.9990874547715248,0,6,2.781394,7
P20.O0_tx,0.9808801541131471,1,7,2.817947,8
P20.O0_tx,0.9072944174675226,5,11,3.790933,9
P20.O0_tx,0.9642120165871978,2,8,3.22387,10
P20.O0_tx,0.9992085101738692,0,6,2.641732,11
P20.O0_tx,0.9992994772920136,0,6,2.690445,12
P20.O0_tx,0.9353737088365386,2,8,3.028679,13
P20.O0_tx,0.9994697623776171,0,6,2.69044,14
P20.O0_tx,0.9743754040220884,1,7,3.015731,15
P20.O0_tx,0.9551115063741102,2,8,3.164364,16
P20.O0_tx,0.999589202651951,0,6,2.585623,17
P20.O0_tx,0.9991987516415267,0,6,2.800696,18
P20.O0_tx,0.9995305439415633,0,6,2.752267,19
P20.O0_tx,0.9628105808732892,1,7,3.193812,20
P20.O0_tx,0.9758859550454982,1.1,7.1,2.9660452499999996,avg
chessBig_tx,0.06210137958623903,-5,13,0.387861,1
chessBig_tx,0.04207138975070176,-10,8,0.282256,2
chessBig_tx,0.06063597137949954,-6,12,0.389497,3
chessBig_tx,0.05777255554974945,-9,9,0.30475,4
chessBig_tx,0.04832913514010111,-6,12,0.370205,5
chessBig_tx,0.05384814575683302,-13,5,0.190139,6
chessBig_tx,0.06323591012015062,8,26,0.856289,7
chessBig_tx,0.07587910541863607,0,18,0.639097,8
chessBig_tx,0.06538905131630117,-3,15,0.4917,9
chessBig_tx,0.06547554022882832,-9,9,0.327305,10
chessBig_tx,0.044596257255967914,-4,14,0.43461,11
chessBig_tx,0.053414101232415474,-3,15,0.459886,12
chessBig_tx,0.04975453157934647,-10,8,0.277448,13
chessBig_tx,0.041980514856407115,-6,12,0.37717,14
chessBig_tx,0.07054384503743523,-4,14,0.441123,15
chessBig_tx,0.03108719222919926,-12,6,0.218137,16
chessBig_tx,0.07072688373000649,-5,13,0.408297,17
chessBig_tx,0.04857546045978431,4,22,0.64471,18
chessBig_tx,0.04497738959597922,2,20,0.61917,19
chessBig_tx,0.07313175312647734,2,20,0.652495,20
chessBig_tx,0.056176305667502945,-4.45,13.55,0.43860725,avg
db36-sep_w2v,0.0,-496,1,8.524817,1
db36-sep_w2v,0.5288760553052946,-485,12,50.071557,2
db36-sep_w2v,0.3341540032474522,-492,5,26.191064,3
db36-sep_w2v,0.3147314287692505,-494,3,18.358608,4
db36-sep_w2v,0.48338592763853644,-486,11,46.663125,5
db36-sep_w2v,0.20493154547513898,-495,2,14.060648,6
db36-sep_w2v,0.39254389700032105,-488,9,38.779026,7
db36-sep_w2v,0.41076185677402693,-489,8,36.234205,8
db36-sep_w2v,0.2051531022277034,-495,2,13.615279,9
db36-sep_w2v,0.3491550339997387,-492,5,27.497988,10
db36-sep_w2v,0.49778450177393524,-486,11,47.428048,11
db36-sep_w2v,0.5785414458501854,-478,19,74.743247,12
db36-sep_w2v,0.27812834860865904,-493,4,19.976758,13
db36-sep_w2v,0.3484029282031986,-492,5,25.477755,14
db36-sep_w2v,0.5571034386324063,-476,21,82.34044,15
db36-sep_w2v,0.5695528119622802,-469,28,107.849781,16
db36-sep_w2v,0.5335075258599954,-479,18,70.532866,17
db36-sep_w2v,0.44586138992312985,-485,12,49.554131,18
db36-sep_w2v,0.47485677043092384,-484,13,53.680192,19
db36-sep_w2v,0.0,-496,1,8.62038,20
db36-sep_w2v,0.37537160058410884,-487.5,9.5,41.00999575,avg
pendigits_tx,0.48573669254624857,14,24,0.460751,1
pendigits_tx,0.43296888662081173,18,28,0.601921,2
pendigits_tx,0.4683665870580617,13,23,0.512965,3
pendigits_tx,0.49468598771672606,15,25,0.522692,4
pendigits_tx,0.4653210617704379,21,31,0.714528,5
pendigits_tx,0.4585870166451082,12,22,0.509508,6
pendigits_tx,0.4678919158649692,17,27,0.579123,7
pendigits_tx,0.4817268144805289,19,29,0.575589,8
pendigits_tx,0.47240035852333256,9,19,0.491296,9
pendigits_tx,0.5280491144573233,6,16,0.402978,10
pendigits_tx,0.45275476748621984,19,29,0.534433,11
pendigits_tx,0.46725204301961565,16,26,0.525659,12
pendigits_tx,0.453394889884593,12,22,0.447955,13
pendigits_tx,0.4635901395009877,20,30,0.539658,14
pendigits_tx,0.47819699549609546,12,22,0.477136,15
pendigits_tx,0.46272377023811695,7,17,0.420332,16
pendigits_tx,0.47626006834113704,13,23,0.476934,17
pendigits_tx,0.47290263806100263,16,26,0.49506,18
pendigits_tx,0.46704212940230405,16,26,0.551081,19
pendigits_tx,0.5220981052260403,9,19,0.432754,20
pendigits_tx,0.473597499116983,14.2,24.2,0.51361765,avg
db201610-sep_w2v_X2,0.0,-2953,1,59.86044,1
db201610-sep_w2v_X2,0.3958721434911442,-2949,5,168.332678,2
db201610-sep_w2v_X2,0.5207936843211558,-2944,10,298.608607,3
db201610-sep_w2v_X2,0.6308114996926059,-2921,33,851.361268,4
db201610-sep_w2v_X2,0.4471745007219024,-2943,11,303.383829,5
db201610-sep_w2v_X2,0.6031910681225088,-2931,23,605.891574,6
db201610-sep_w2v_X2,0.5210311615099297,-2942,12,350.054225,7
db201610-sep_w2v_X2,0.5521370156939165,-2941,13,360.036474,8
db201610-sep_w2v_X2,0.5192327196013272,-2937,17,455.269878,9
db201610-sep_w2v_X2,0.47249022695089793,-2943,11,316.386138,10
db201610-sep_w2v_X2,0.4662734020105388,-2940.4,13.6,376.91851109999993,avg
db2014-sep_w2v_X2,0.3203138503907648,-897,8,151.246713,1
db2014-sep_w2v_X2,0.5164878903102305,-878,27,452.404267,2
db2014-sep_w2v_X2,0.5407590294230535,-888,17,300.150401,3
db2014-sep_w2v_X2,0.0,-904,1,37.39981,4
db2014-sep_w2v_X2,0.38756676850707755,-895,10,192.279886,5
db2014-sep_w2v_X2,0.6047115096525296,-878,27,460.442129,6
db2014-sep_w2v_X2,0.6634937737900632,-877,28,503.104847,7
db2014-sep_w2v_X2,0.6039938318145294,-884,21,372.322573,8
db2014-sep_w2v_X2,0.5633534130301646,-881,24,417.08736,9
db2014-sep_w2v_X2,0.604808042127863,-880,25,430.655944,10
db2014-sep_w2v_X2,0.48054881090462764,-886.2,18.8,331.709393,avg
db36-sep_w2v_X2,0.5506303947889198,-460,37,141.588827,1
db36-sep_w2v_X2,0.0,-496,1,9.302758,2
db36-sep_w2v_X2,0.5452316107131104,-481,16,71.060343,3
db36-sep_w2v_X2,0.5793702678584752,-464,33,127.798434,4
db36-sep_w2v_X2,0.5619432466392905,-469,28,111.904927,5
db36-sep_w2v_X2,0.47106489701122234,-488,9,43.449584,6
db36-sep_w2v_X2,0.29626482251387565,-488,9,40.845028,7
db36-sep_w2v_X2,0.2164157978158491,-492,5,27.984807,8
db36-sep_w2v_X2,0.4900158712842572,-482,15,66.421114,9
db36-sep_w2v_X2,0.577349181189041,-474,23,93.503955,10
db36-sep_w2v_X2,0.4288286089814042,-479.4,17.6,73.3859777,avg
